'000063.SZ','中兴通讯','sz000063','000063',63,'1997/11/18','0:00:00','通信',442.8145544,'广东省',50,0
'000065.SZ','北方国际','sz000065','000065',65,'1998/6/5','0:00:00','建筑装饰',26.18001842,'北京',51,0
'000066.SZ','中国长城','sz000066','000066',66,'1997/6/26','0:00:00','计算机',94.80809355,'广东省',52,0
'000068.SZ','华控赛格','sz000068','000068',68,'1997/6/11','0:00:00','公用事业',22.9259708,'广东省',53,0
'000069.SZ','华侨城A','sz000069','000069',69,'1997/9/10','0:00:00','房地产',222.629699,'广东省',54,0
'000070.SZ','特发信息','sz000070','000070',70,'2000/5/11','0:00:00','通信',22.39341876,'广东省',55,0
'000078.SZ','海王生物','sz000078','000078',78,'1998/12/18','0:00:00','医药生物',50.17690978,'广东省',56,0
'000088.SZ','盐田港','sz000088','000088',88,'1997/7/28','0:00:00','交通运输',33.145125,'广东省',57,0
'000089.SZ','深圳机场','sz000089','000089',89,'1998/4/20','0:00:00','交通运输',69.45070199,'广东省',58,0
'000090.SZ','天健集团','sz000090','000090',90,'1999/7/21','0:00:00','房地产',32.25477501,'广东省',59,0
'000096.SZ','广聚能源','sz000096','000096',96,'2000/7/24','0:00:00','化工',22.416679,'广东省',60,0
'000099.SZ','中信海直','sz000099','000099',99,'2000/7/31','0:00:00','交通运输',22.68900771,'广东省',61,0
'000100.SZ','TCL集团','sz000100','000100',100,'2004/1/30','0:00:00','家用电器',252.5868407,'广东省',62,0
'000150.SZ','宜华健康','sz000150','000150',150,'2000/8/7','0:00:00','医药生物',39.95519231,'广东省',63,0
'000151.SZ','中成股份','sz000151','000151',151,'2000/9/6','0:00:00','商业贸易',18.44835371,'北京',64,0
'000153.SZ','丰原药业','sz000153','000153',153,'2000/9/20','0:00:00','医药生物',12.97627738,'安徽省',65,0
'000155.SZ','川能动力','sz000155','000155',155,'2000/9/26','0:00:00','商业贸易',29.82646634,'四川省',66,0
'000156.SZ','华数传媒','sz000156','000156',156,'2000/9/6','0:00:00','传媒',50.42126971,'浙江省',67,0
'000157.SZ','中联重科','sz000157','000157',157,'2000/10/12','0:00:00','机械设备',157.6371723,'湖南省',68,0
'000158.SZ','常山北明','sz000158','000158',158,'2000/7/24','0:00:00','计算机',40.52234907,'河北省',69,0
'000159.SZ','国际实业','sz000159','000159',159,'2000/9/26','0:00:00','化工',16.14808506,'新疆维吾尔自治区',70,0
'000166.SZ','申万宏源','sz000166','000166',166,'2015/1/26','0:00:00','非银金融',274.291626,'新疆维吾尔自治区',71,0
'000301.SZ','东方盛虹','sz000301','000301',301,'2000/5/29','0:00:00','公用事业',51.65673234,'江苏省',72,0
'000333.SZ','美的集团','sz000333','000333',333,'2013/9/18','0:00:00','家用电器',1741.397172,'广东省',73,0
'000338.SZ','潍柴动力','sz000338','000338',338,'2007/4/30','0:00:00','汽车',321.5845914,'山东省',74,0
'000400.SZ','许继电气','sz000400','000400',400,'1997/4/18','0:00:00','电气设备',52.80328523,'河南省',75,0
'000401.SZ','冀东水泥','sz000401','000401',401,'1996/6/14','0:00:00','建筑材料',98.18689028,'河北省',76,0
'000402.SZ','金融街','sz000402','000402',402,'1996/6/26','0:00:00','房地产',142.9882605,'北京',77,0
'000403.SZ','振兴生化','sz000403','000403',403,'1996/6/28','0:00:00','医药生物',32.72995148,'山西省',78,0
'000404.SZ','长虹华意','sz000404','000404',404,'1996/6/19','0:00:00','家用电器',19.52572343,'江西省',79,0
'000407.SZ','胜利股份','sz000407','000407',407,'1996/7/3','0:00:00','公用事业',24.97790318,'山东省',80,0
'000408.SZ','藏格控股','sz000408','000408',408,'1996/6/28','0:00:00','化工',52.9706502,'青海省',81,0
'000409.SZ','*ST地矿','sz000409','000409',409,'1996/6/27','0:00:00','综合',15.83759502,'山东省',82,0
'000410.SZ','沈阳机床','sz000410','000410',410,'1996/7/18','0:00:00','机械设备',37.00476124,'辽宁省',83,0
'000411.SZ','英特集团','sz000411','000411',411,'1996/7/16','0:00:00','医药生物',12.33397392,'浙江省',84,0
'000413.SZ','东旭光电','sz000413','000413',413,'1996/9/25','0:00:00','电子',182.6812547,'河北省',85,0
'000415.SZ','渤海租赁','sz000415','000415',415,'1996/7/16','0:00:00','非银金融',67.13723361,'新疆维吾尔自治区',86,0
'000416.SZ','民生控股','sz000416','000416',416,'1996/7/19','0:00:00','非银金融',20.2124898,'山东省',87,0
'000417.SZ','合肥百货','sz000417','000417',417,'1996/8/12','0:00:00','商业贸易',23.60094852,'安徽省',88,0
'000418.SZ','小天鹅A','sz000418','000418',418,'1997/3/28','0:00:00','家用电器',95.79886234,'江苏省',89,0
'000419.SZ','通程控股','sz000419','000419',419,'1996/8/16','0:00:00','商业贸易',13.8159097,'湖南省',90,0
'000420.SZ','吉林化纤','sz000420','000420',420,'1996/8/2','0:00:00','化工',32.87301124,'吉林省',91,0
'000421.SZ','南京公用','sz000421','000421',421,'1996/8/6','0:00:00','公用事业',12.6049074,'江苏省',92,0
'000422.SZ','*ST宜化','sz000422','000422',422,'1996/8/15','0:00:00','化工',21.88791177,'湖北省',93,0
'000423.SZ','东阿阿胶','sz000423','000423',423,'1996/7/29','0:00:00','医药生物',202.8689104,'山东省',94,0
'000425.SZ','徐工机械','sz000425','000425',425,'1996/8/28','0:00:00','机械设备',135.9832171,'江苏省',95,0
'000426.SZ','兴业矿业','sz000426','000426',426,'1996/8/28','0:00:00','有色金属',34.04909065,'内蒙古自治区',96,0
'000428.SZ','华天酒店','sz000428','000428',428,'1996/8/8','0:00:00','休闲服务',11.25129037,'湖南省',97,0
'000429.SZ','粤高速A','sz000429','000429',429,'1998/2/20','0:00:00','交通运输',27.7030263,'广东省',98,0
'000430.SZ','张家界','sz000430','000430',430,'1996/8/29','0:00:00','休闲服务',14.90351173,'湖南省',99,0
'000488.SZ','晨鸣纸业','sz000488','000488',488,'2000/11/20','0:00:00','轻工制造',75.05596435,'山东省',100,0
'000498.SZ','山东路桥','sz000498','000498',498,'1997/6/9','0:00:00','建筑装饰',21.20000548,'山东省',101,0
'000501.SZ','鄂武商A','sz000501','000501',501,'1992/11/20','0:00:00','商业贸易',35.82071009,'湖北省',102,0
'000502.SZ','绿景控股','sz000502','000502',502,'1992/11/23','0:00:00','房地产',11.64416538,'广东省',103,0
'000503.SZ','国新健康','sz000503','000503',503,'1992/11/30','0:00:00','医药生物',123.2739357,'海南省',104,0
'000504.SZ','南华生物','sz000504','000504',504,'1992/12/8','0:00:00','传媒',27.87951961,'湖南省',105,0
